paper_id,title,authors,year,journal,doi,search_source,screening_decision,exclusion_reason,pdf_obtained,extraction_status,extraction_date,notes
HYC-0001,Hydrogen adsorption in different carbon nanostructures,"Panella, B., Hirscher, M., Roth, S.",2005,Carbon,10.1016/j.carbon.2005.03.037,anchor:Panella2005,include,,yes,extracted,2026-06-29,foundational anchor; multiple nanostructure types in one paper; calibration reference
HYC-0002,Hydrogen Storage in Single-Walled Carbon Nanotubes at Room Temperature,"Liu, C., Fan, Y. Y., Liu, M., Cong, H. T., Dresselhaus, M. S.",1999,Science,10.1126/science.286.5442.1127,anchor:Liu1999,include,,yes,not_started,,foundational anchor; multiple nanostructure types in one paper; calibration reference
HYC-0003,Hydrogen storage by alkali-doped carbon nanotubes–revisited,"Tang, R.",2000,Carbon,10.1016/S0008-6223(99)00273-0,anchor:Yang2000,include,,no,not_started,,foundational anchor; multiple nanostructure types in one paper; calibration reference
HYC-0004,Hydrogen storage using physisorption – materials demands,"Nijkamp. M. G., Raaymakers, J. E. M. J., van Dillen, A. J., de Jong, K. P.",2001,Applied Physics A,10.1007/s003390100847,anchor:Nijkamp2001,include,,yes,extracted,2026-06-29,foundational anchor; multiple nanostructure types in one paper; calibration reference
HYC-0005,Hydrogen storage in activated carbon materials: Role of the nanoporous texture,"Texier-Mandoki, N., Dentzer, J., Piquero, T., Saadallah, S., David, P., Vix-Guterl, C.",2004,Carbon,10.1016/j.carbon.2004.05.018,anchor:TexierMandoki2004,include,,yes,not_started,,foundational anchor; multiple nanostructure types in one paper; calibration reference
HYC-0006,Adsorption Storage of Gaseous Hydrogen at Cryogenic Temperatures,"Chahine, R., Benard, P.",1998,Conference proceedings,10.1007/978-1-4757-9047-4_157,anchor:Chahine1998,include,,no,not_started,,foundational anchor; multiple nanostructure types in one paper; calibration reference
HYC-0007,Adsorptive hydrogen storage in carbon and porous materials,"Takagi, H., Hatori, H., Soneda, Y., Yoshizawa, N., Yamada, Y.",2004,Materials Science and Engineering: B,10.1016/j.mseb.2003.10.095,google_scholar:S1,include,,yes,not_started,,
HYC-0008,Hydrogen Storage Behaviors by Adsorption on Multi-Walled Carbon Nanotubes,"Elyassi, M., Rashidi, A., Hantehzadeh, M. R., Elahi, S. M.",2016, Journal of Inorganic and Organometallic Polymers and Materials,10.1007/s10904-016-0471-y,google_scholar:S1,include,,no,not_started,,
HYC-009,H2 storage on single- and multi-walled carbon nanotubes,"Ioannatos, G.E., Verykios, X.E.",2010,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2009.11.029,google_scholar:S1,include,,yes,not_started,,
HYC-0010,Hydrogen storage in carbon nanostructures,"Zuttel, A., Sudan, P., Mauron, Ph., Kiyobayashi, T., Emmenegger, Ch., Schlapbach, L.",2002,International Journal of Hydrogen Energy,10.1016/S0360-3199(01)00108-2,google_scholar:S1,exclude,no_conditions_stated,no,not_started,,
HYC-0011,Hydrogen storage by carbon nanotube and their films under ambient pressure,"Qikun, W., Changchun, Z., Weihua, L., Ting, W.",2002,International Journal of Hydrogen Energy,10.1016/S0360-3199(01)00162-8,google_scholar:S1,include,,yes,not_started,,
HYC-0012,Hydrogen storage in carbon nanotubes revisited,"Liu, C., Chen, Y., Wu, C., Xu, S., Cheng, H.",2010,Carbon,10.1016/j.carbon.2009.09.060,google_scholar:S1,include,,yes,not_started,,
